Date,Open,High,Low,Close
2018-03-23,5841,5931,5744,5818
2018-03-26,5807,5886,5707,5833
2018-03-27,5819,5857,5777,5816
2018-03-28,5809,5916,5800,5881
2018-03-29,5872,5962,5782,5855
2018-04-02,5868,5913,5812,5872
2018-04-03,5879,5936,5694,5788
2018-04-04,5777,5804,5762,5765
2018-04-05,5761,5818,5662,5773
2018-04-06,5757,5803,5647,5746
2018-04-09,5743,5881,5664,5806
2018-04-10,5824,5853,5700,5773
2018-04-11,5767,5823,5671,5731
2018-04-12,5747,5821,5667,5703
2018-04-13,5694,5746,5605,5655
2018-04-16,5669,5732,5633,5672
2018-04-17,5682,5775,5601,5634
2018-04-18,5625,5750,5589,5695
2018-04-19,5715,5746,5556,5621
2018-04-20,5628,5667,5585,5636
2018-04-23,5651,5741,5559,5633
2018-04-24,5636,5729,5551,5716
2018-04-25,5717,5793,5614,5645
2018-04-26,5644,5691,5603,5681
2018-04-27,5691,5710,5532,5608
2018-04-30,5619,5719,5540,5692
2018-05-01,5697,5848,5626,5786
2018-05-02,5780,5855,5640,5733
2018-05-03,5746,5812,5699,5794
2018-05-04,5784,5857,5754,5798
2018-05-07,5778,5896,5724,5861
2018-05-08,5857,5954,5785,5839
2018-05-09,5825,6013,5755,5920
2018-05-10,5928,6021,5858,5966
2018-05-11,5966,6053,5883,5957
2018-05-14,5975,5977,5880,5934
2018-05-15,5946,5997,5848,5888
2018-05-16,5868,5979,5793,5907
2018-05-17,5912,6106,5850,6011
2018-05-18,6019,6081,5993,6042
2018-05-21,6022,6038,5967,6031
2018-05-22,6034,6170,5985,6097
2018-05-23,6111,6168,5996,6024
2018-05-24,6035,6077,5931,5964
2018-05-25,5983,6124,5905,6045
2018-05-29,6044,6117,6005,6066
2018-05-30,6056,6079,5994,6007
2018-05-31,5991,6048,5851,5897
2018-06-01,5908,6004,5812,5926
2018-06-04,5931,5986,5823,5869
2018-06-05,5853,5929,5789,5893
2018-06-06,5886,6017,5840,5940
2018-06-07,5949,5954,5814,5883
2018-06-08,5863,5885,5761,5768
2018-06-11,5785,5933,5754,5833
2018-06-12,5838,6015,5783,5933
2018-06-13,5947,6030,5909,5973
2018-06-14,5974,5984,5940,5952
2018-06-15,5949,6033,5904,6004
2018-06-18,6024,6074,5975,6022
2018-06-19,6040,6080,6017,6057
2018-06-20,6047,6126,5926,5965
2018-06-21,5981,6070,5959,6005
2018-06-22,5985,6028,5922,5976
2018-06-25,5982,6013,5953,5953
2018-06-26,5937,6048,5901,5948
2018-06-27,5963,6039,5812,5885
2018-06-28,5872,5942,5850,5908
2018-06-29,5889,5953,5765,5810
2018-07-02,5827,5923,5758,5817
2018-07-03,5797,5872,5766,5803
2018-07-05,5817,5965,5785,5894
2018-07-06,5910,5915,5860,5871
2018-07-09,5862,5968,5809,5950
2018-07-10,5957,6049,5852,5857
2018-07-11,5847,5880,5716,5764
2018-07-12,5768,5882,5731,5836
2018-07-13,5833,5847,5705,5756
2018-07-16,5774,5819,5740,5801
2018-07-17,5782,5839,5679,5682
2018-07-18,5676,5775,5600,5669
2018-07-19,5659,5698,5592,5670
2018-07-20,5670,5728,5521,5596
2018-07-23,5590,5677,5555,5642
2018-07-24,5640,5734,5589,5657
2018-07-25,5644,5661,5560,5574
2018-07-26,5555,5646,5467,5565
2018-07-27,5549,5637,5453,5498
2018-07-30,5498,5584,5494,5528
2018-07-31,5514,5556,5331,5424
2018-08-01,5406,5451,5327,5328
2018-08-02,5341,5443,5279,5397
2018-08-03,5395,5460,5328,5328
2018-08-06,5339,5450,5285,5356
2018-08-07,5365,5494,5362,5406
2018-08-08,5421,5497,5276,5352
2018-08-09,5349,5466,5318,5402
2018-08-10,5396,5414,5291,5357
2018-08-13,5350,5388,5245,5283
2018-08-14,5281,5361,5251,5296
2018-08-15,5308,5351,5228,5254
2018-08-16,5240,5254,5092,5156
2018-08-17,5157,5230,5087,5138
2018-08-20,5145,5251,5075,5205
2018-08-21,5198,5338,5137,5265
2018-08-22,5279,5366,5262,5363
2018-08-23,5351,5446,5192,5262
2018-08-24,5272,5302,5234,5281
2018-08-27,5287,5341,5251,5301
2018-08-28,5306,5384,5144,5229
2018-08-29,5220,5290,5141,5247
2018-08-30,5267,5456,5202,5357
2018-08-31,5366,5441,5261,5307
2018-09-04,5289,5335,5245,5332
2018-09-05,5328,5390,5295,5314
2018-09-06,5326,5417,5182,5241
2018-09-07,5245,5320,5088,5150
2018-09-10,5168,5271,5088,5253
2018-09-11,5261,5434,5235,5339
2018-09-12,5354,5408,5262,5385
2018-09-13,5388,5392,5285,5337
2018-09-14,5345,5512,5331,5421
2018-09-17,5419,5428,5354,5399
2018-09-18,5399,5493,5332,5443
2018-09-19,5426,5464,5287,5335
2018-09-20,5350,5384,5185,5265
2018-09-21,5250,5276,5203,5230
2018-09-24,5246,5336,5197,5224
2018-09-25,5208,5268,5145,5213
2018-09-26,5224,5285,5093,5178
2018-09-27,5185,5243,5101,5108
2018-09-28,5106,5141,5046,5141
2018-10-01,5157,5239,5074,5170
2018-10-02,5180,5222,5080,5184
2018-10-03,5176,5365,5133,5274
2018-10-04,5287,5416,5258,5355
2018-10-05,5356,5461,5342,5363
2018-10-08,5364,5408,5165,5265
2018-10-09,5265,5381,5210,5312
2018-10-10,5292,5332,5113,5211
2018-10-11,5205,5242,5088,5125
2018-10-12,5135,5272,5120,5200
2018-10-15,5217,5359,5176,5284
2018-10-16,5289,5385,5172,5253
2018-10-17,5253,5307,5191,5242
2018-10-18,5249,5294,5120,5206
2018-10-19,5203,5271,5174,5208
2018-10-22,5218,5291,5125,5131
2018-10-23,5127,5244,5042,5159
2018-10-24,5161,5259,5023,5068
2018-10-25,5069,5158,5018,5152
2018-10-26,5172,5217,5015,5108
2018-10-29,5100,5126,4924,5010
2018-10-30,5024,5073,4967,4995
2018-10-31,4984,5020,4871,4888
2018-11-01,4886,5003,4807,4959
2018-11-02,4952,5021,4916,4993
2018-11-05,4979,5068,4931,5068
2018-11-06,5085,5204,5045,5118
2018-11-07,5137,5170,5091,5124
2018-11-08,5113,5207,5038,5114
2018-11-09,5125,5130,5095,5125
2018-11-12,5116,5185,5068,5132
2018-11-13,5125,5145,5016,5110
2018-11-14,5128,5172,4982,5030
2018-11-15,5037,5067,4924,5003
2018-11-16,5014,5111,4959,4981
2018-11-19,4996,5141,4907,5064
2018-11-20,5080,5095,5051,5066
2018-11-21,5067,5116,4890,4979
2018-11-23,4994,5083,4982,5060
2018-11-26,5057,5216,5055,5116
2018-11-27,5122,5142,5047,5106
2018-11-28,5088,5193,5063,5146
2018-11-29,5152,5243,5100,5124
2018-11-30,5109,5275,5064,5192
2018-12-03,5182,5347,5163,5270
2018-12-04,5274,5349,5233,5241
2018-12-06,5255,5340,5246,5278
2018-12-07,5259,5358,5246,5258
2018-12-10,5268,5328,5236,5318
2018-12-11,5304,5424,5228,5392
2018-12-12,5375,5415,5245,5277
2018-12-13,5293,5349,5237,5274
2018-12-14,5276,5322,5185,5306
2018-12-17,5322,5375,5192,5226
2018-12-18,5208,5267,5051,5145
2018-12-19,5134,5316,5065,5216
2018-12-20,5202,5233,5118,5135
2018-12-21,5131,5194,5080,5106
2018-12-24,5103,5171,4978,5021
2018-12-26,5004,5094,4831,4913
2018-12-27,4915,4988,4838,4941
2018-12-28,4949,5012,4932,4999
2018-12-31,5003,5005,4904,4981
2019-01-02,4975,5059,4950,4980
2019-01-03,4965,4994,4838,4890
2019-01-04,4870,4960,4808,4909
2019-01-07,4895,5087,4806,4988
2019-01-08,5000,5018,4949,4962
2019-01-09,4976,5051,4953,4976
2019-01-10,4981,5031,4826,4890
2019-01-11,4871,4875,4789,4835
2019-01-14,4832,4938,4758,4925
2019-01-15,4925,5111,4879,5023
2019-01-16,5019,5128,5014,5103
2019-01-17,5090,5167,4934,5000
2019-01-18,5000,5092,4956,5022
2019-01-22,5018,5107,4931,5077
2019-01-23,5073,5073,5026,5047
2019-01-24,5045,5212,4957,5142
2019-01-25,5138,5214,5031,5104
2019-01-28,5113,5193,5031,5130
2019-01-29,5132,5184,5055,5060
2019-01-30,5058,5090,4898,4977
2019-01-31,4970,4974,4877,4946
2019-02-01,4945,4956,4849,4926
2019-02-04,4935,5005,4917,4921
2019-02-05,4939,4994,4827,4922
2019-02-06,4928,4936,4823,4844
2019-02-07,4828,4929,4787,4892
2019-02-08,4886,4947,4846,4929
2019-02-11,4945,5010,4862,4985
2019-02-12,4972,5067,4831,4893
2019-02-13,4887,4962,4770,4795
2019-02-14,4775,4852,4757,4800
2019-02-15,4800,4851,4703,4823
2019-02-19,4826,4918,4761,4890
2019-02-20,4909,4968,4831,4933
2019-02-21,4948,4988,4769,4850
2019-02-22,4861,4916,4810,4869
2019-02-25,4853,4871,4694,4762
2019-02-26,4772,4865,4753,4806
2019-02-27,4825,4893,4739,4817
2019-02-28,4809,4857,4776,4815
2019-03-01,4834,4906,4687,4752
2019-03-04,4754,4833,4629,4717
2019-03-05,4721,4814,4711,4771
2019-03-06,4773,4879,4701,4873
2019-03-07,4888,5010,4851,4941
2019-03-08,4952,4993,4849,4925
2019-03-11,4922,5053,4842,4965
2019-03-12,4971,5045,4942,5008
2019-03-13,5010,5109,4946,5059
2019-03-14,5065,5094,4894,4967
2019-03-15,4969,5128,4964,5031
2019-03-18,5034,5055,4928,4947
2019-03-19,4928,4995,4774,4830
2019-03-20,4846,4960,4807,4884
2019-03-21,4904,5066,4819,4975
2019-03-22,4959,4994,4893,4938
2019-03-25,4932,5070,4871,4972
2019-03-26,4975,5046,4897,4979
2019-03-27,4992,5079,4851,4898
2019-03-28,4904,4922,4849,4879
2019-03-29,4894,4946,4785,4798
2019-04-01,4814,4816,4787,4811
2019-04-02,4791,4905,4778,4871
2019-04-03,4881,4910,4783,4854
2019-04-04,4851,4887,4755,4821
2019-04-05,4805,4990,4764,4897
2019-04-08,4915,4966,4807,4849
2019-04-09,4838,4900,4784,4788
2019-04-10,4772,4797,4721,4761
2019-04-11,4772,4904,4712,4817
2019-04-12,4805,4820,4729,4773
2019-04-15,4779,4939,4707,4872
2019-04-16,4872,4934,4795,4848
2019-04-17,4864,4888,4835,4885
2019-04-18,4894,4958,4841,4941
2019-04-22,4925,4971,4795,4869
2019-04-23,4859,4879,4687,4776
2019-04-24,4779,4842,4670,4723
2019-04-25,4704,4765,4624,4699
2019-04-26,4682,4755,4598,4660
2019-04-29,4648,4694,4544,4602
2019-04-30,4609,4669,4577,4655
2019-05-01,4651,4707,4640,4654
2019-05-02,4665,4823,4591,4727
2019-05-03,4747,4869,4713,4844
2019-05-06,4847,4920,4771,4797
2019-05-07,4792,4892,4771,4878
2019-05-08,4896,4916,4846,4848
2019-05-09,4842,5002,4834,4919
2019-05-10,4919,5005,4753,4821
2019-05-13,4811,4884,4695,4776
2019-05-14,4775,4863,4697,4796
2019-05-15,4816,4827,4776,4811
2019-05-16,4801,4898,4746,4859
2019-05-17,4867,5016,4814,4953
2019-05-20,4940,5000,4820,4862
2019-05-21,4880,4895,4739,4818
2019-05-22,4817,4938,4781,4862
2019-05-23,4859,4974,4842,4909
2019-05-24,4897,4952,4774,4848
2019-05-28,4862,4921,4778,4858
2019-05-29,4870,4956,4849,4907
2019-05-30,4927,4997,4825,4910
2019-05-31,4925,4984,4821,4846
2019-06-03,4861,4888,4817,4835
2019-06-04,4824,4899,4691,4768
2019-06-05,4782,4877,4760,4770
2019-06-06,4785,4863,4748,4750
2019-06-07,4736,4801,4608,4645
2019-06-10,4655,4663,4526,4623
2019-06-11,4622,4781,4571,4690
2019-06-12,4701,4825,4667,4778
2019-06-13,4765,4774,4709,4723
2019-06-14,4710,4713,4610,4707
2019-06-17,4708,4810,4673,4727
2019-06-18,4718,4811,4557,4634
2019-06-19,4654,4744,4652,4661
2019-06-20,4641,4721,4475,4573
2019-06-21,4579,4712,4489,4659
2019-06-24,4639,4686,4607,4684
2019-06-25,4691,4863,4614,4767
2019-06-26,4753,4793,4704,4740
2019-06-27,4722,4808,4584,4631
2019-06-28,4624,4745,4580,4701
2019-07-01,4689,4781,4658,4699
2019-07-02,4697,4703,4524,4610
2019-07-03,4613,4702,4533,4622
2019-07-05,4608,4716,4581,4704
2019-07-08,4720,4773,4640,4679
2019-07-09,4662,4694,4565,4569
2019-07-10,4556,4625,4500,4540
2019-07-11,4549,4658,4464,4582
2019-07-12,4573,4619,4433,4503
2019-07-15,4523,4656,4522,4575
2019-07-16,4566,4727,4564,4657
2019-07-17,4642,4821,4637,4734
2019-07-18,4745,4813,4568,4656
2019-07-19,4667,4788,4584,4758
2019-07-22,4772,4863,4692,4812
2019-07-23,4824,4886,4746,4797
2019-07-24,4808,4875,4629,4726
2019-07-25,4713,4809,4666,4733
2019-07-26,4745,4870,4726,4797
2019-07-29,4785,4879,4664,4709
2019-07-30,4708,4840,4624,4749
2019-07-31,4768,4847,4672,4738
2019-08-01,4754,4800,4727,4785
2019-08-02,4777,4819,4684,4764
2019-08-05,4758,4849,4702,4795
2019-08-06,4801,4856,4726,4805
2019-08-07,4822,4916,4698,4758
2019-08-08,4772,4870,4666,4731
2019-08-09,4743,4806,4646,4679
2019-08-12,4697,4776,4648,4723
2019-08-13,4740,4816,4702,4756
2019-08-14,4772,4774,4742,4754
2019-08-15,4751,4799,4608,4653
2019-08-16,4666,4699,4614,4670
2019-08-19,4680,4717,4598,4627
2019-08-20,4608,4741,4534,4675
2019-08-21,4692,4822,4653,4730
2019-08-22,4721,4742,4621,4729
2019-08-23,4731,4765,4661,4703
2019-08-26,4719,4817,4677,4803
2019-08-27,4791,4801,4665,4696
2019-08-28,4699,4830,4646,4780
2019-08-29,4795,4808,4795,4808
2019-08-30,4810,4906,4721,4766
2019-09-03,4772,4831,4725,4806
2019-09-04,4810,4892,4715,4715
2019-09-05,4711,4757,4682,4721
2019-09-06,4739,4822,4699,4711
2019-09-09,4712,4727,4668,4679
2019-09-10,4664,4750,4510,4608
2019-09-11,4589,4617,4442,4534
2019-09-12,4532,4613,4353,4440
2019-09-13,4456,4469,4364,4386
2019-09-16,4385,4420,4342,4359
2019-09-17,4364,4440,4267,4317
2019-09-18,4314,4405,4236,4352
2019-09-19,4341,4401,4262,4347
2019-09-20,4361,4423,4294,4355
2019-09-23,4365,4367,4269,4346
2019-09-24,4360,4381,4247,4345
2019-09-25,4360,4379,4305,4323
2019-09-26,4319,4381,4306,4360
2019-09-27,4340,4421,4259,4275
2019-09-30,4261,4329,4257,4258
2019-10-01,4274,4399,4213,4327
2019-10-02,4334,4453,4269,4428
2019-10-03,4437,4520,4384,4495
2019-10-04,4490,4542,4422,4477
2019-10-07,4469,4518,4395,4430
2019-10-08,4422,4534,4399,4481
2019-10-09,4476,4514,4457,4495
2019-10-10,4503,4516,4454,4483
2019-10-11,4497,4556,4469,4498
2019-10-14,4494,4539,4358,4405
2019-10-15,4385,4429,4353,4398
2019-10-16,4394,4499,4298,4467
2019-10-17,4487,4548,4402,4543
2019-10-18,4532,4590,4427,4486
2019-10-21,4499,4587,4427,4568
2019-10-22,4584,4688,4486,4610
2019-10-23,4607,4746,4563,4648
2019-10-24,4641,4677,4599,4642
2019-10-25,4657,4678,4562,4667
2019-10-28,4680,4767,4631,4655
2019-10-29,4658,4740,4643,4723
2019-10-30,4708,4813,4703,4749
2019-10-31,4734,4779,4653,4679
2019-11-01,4682,4797,4631,4761
2019-11-04,4744,4807,4694,4726
2019-11-05,4742,4826,4698,4716
2019-11-06,4734,4765,4643,4644
2019-11-07,4647,4717,4560,4587
2019-11-08,4575,4579,4462,4542
2019-11-11,4558,4564,4469,4560
2019-11-12,4550,4605,4367,4455
2019-11-13,4454,4549,4265,4354
2019-11-14,4347,4418,4346,4406
2019-11-15,4414,4593,4342,4501
2019-11-18,4481,4632,4466,4536
2019-11-19,4525,4558,4394,4492
2019-11-20,4486,4523,4350,4427
2019-11-21,4416,4492,4393,4420
2019-11-22,4404,4412,4336,4406
2019-11-25,4411,4487,4333,4402
2019-11-26,4413,4505,4293,4368
2019-11-27,4372,4457,4260,4305
2019-11-29,4302,4354,4131,4202
2019-12-02,4186,4240,4122,4172
2019-12-03,4188,4376,4172,4287
2019-12-04,4289,4317,4176,4203
2019-12-05,4215,4232,4128,4181
2019-12-06,4189,4217,4035,4128
2019-12-09,4111,4181,3943,4024
2019-12-10,4020,4117,3906,3941
2019-12-11,3928,3991,3833,3877
2019-12-12,3857,3900,3709,3778
2019-12-13,3795,3837,3669,3728
2019-12-16,3712,3809,3613,3723
2019-12-17,3706,3781,3660,3724
2019-12-18,3739,3764,3693,3708
2019-12-19,3710,3827,3700,3744
2019-12-20,3758,3823,3744,3805
2019-12-23,3823,3825,3639,3729
2019-12-24,3748,3814,3697,3780
2019-12-26,3795,3856,3689,3771
2019-12-27,3775,3877,3701,3863
2019-12-30,3877,3976,3868,3968
2019-12-31,3983,4064,3939,3995
2020-01-02,3986,4069,3810,3887
2020-01-03,3907,3907,3795,3860
2020-01-06,3866,3890,3747,3810
2020-01-07,3817,3855,3641,3723
2020-01-08,3723,3752,3668,3727
2020-01-09,3709,3729,3598,3614
2020-01-10,3618,3693,3558,3589
2020-01-13,3571,3608,3532,3554
2020-01-14,3561,3608,3374,3468
2020-01-15,3451,3605,3446,3532
2020-01-16,3530,3540,3483,3540
2020-01-17,3535,3685,3528,3624
2020-01-21,3624,3737,3616,3706
2020-01-22,3708,3842,3617,3801
2020-01-23,3816,3932,3754,3864
2020-01-24,3861,3936,3826,3849
2020-01-27,3833,3894,3761,3867
2020-01-28,3863,3903,3700,3785
2020-01-29,3797,3989,3788,3896
2020-01-30,3907,3984,3865,3964
2020-01-31,3958,4041,3919,3994
2020-02-03,4010,4082,3909,3974
2020-02-04,3972,4154,3946,4065
2020-02-05,4072,4087,4005,4019
2020-02-06,4028,4064,3929,3984
2020-02-07,3996,4004,3929,3984
2020-02-10,3987,4072,3946,3970
2020-02-11,3983,4102,3978,4055
2020-02-12,4053,4127,3984,4003
2020-02-13,3998,4117,3944,4050
2020-02-14,4039,4098,3924,3999
2020-02-18,3992,4107,3898,4085
2020-02-19,4069,4133,3960,4028
2020-02-20,4024,4124,3975,4078
2020-02-21,4093,4118,3946,4015
2020-02-24,4013,4118,3954,4095
2020-02-25,4104,4145,4028,4142
2020-02-26,4128,4276,4098,4191
2020-02-27,4194,4280,4159,4244
2020-02-28,4225,4252,4143,4192
2020-03-02,4197,4279,4097,4142
2020-03-03,4124,4199,4084,4137
2020-03-04,4144,4312,4068,4223
2020-03-05,4223,4267,4100,4166
2020-03-06,4159,4198,4046,4135
2020-03-09,4153,4155,4074,4100
2020-03-10,4119,4282,4103,4197
2020-03-11,4208,4242,4153,4220
2020-03-12,4209,4234,4072,4121
2020-03-13,4140,4259,4061,4164
2020-03-16,4149,4207,4002,4051
2020-03-17,4061,4096,3964,4082
2020-03-18,4092,4155,4077,4135
2020-03-19,4148,4189,4085,4091
2020-03-20,4106,4223,4020,4171
2020-03-23,4157,4317,4155,4239
2020-03-24,4250,4338,4135,4218
2020-03-25,4214,4279,4145,4165
2020-03-26,4153,4288,4141,4195
2020-03-27,4195,4257,4111,4169
2020-03-30,4160,4258,4090,4240
2020-03-31,4221,4254,4221,4242
2020-04-01,4229,4242,4119,4190
2020-04-02,4186,4219,4119,4178
2020-04-03,4182,4291,4168,4266
2020-04-06,4265,4387,4235,4340
2020-04-07,4337,4343,4248,4264
2020-04-08,4275,4298,4261,4288
2020-04-09,4288,4401,4220,4333
2020-04-13,4345,4393,4291,4299
2020-04-14,4283,4407,4185,4348
2020-04-15,4360,4502,4302,4443
2020-04-16,4450,4542,4290,4368
2020-04-17,4357,4455,4268,4294
2020-04-20,4310,4314,4224,4310
2020-04-21,4322,4359,4194,4278
2020-04-22,4278,4375,4121,4209
2020-04-23,4201,4379,4187,4292
2020-04-24,4295,4349,4185,4277
2020-04-27,4264,4301,4104,4201
2020-04-28,4200,4233,4095,4163
2020-04-29,4165,4245,4120,4154
2020-04-30,4174,4181,4095,4179
2020-05-01,4179,4223,4084,4084
2020-05-04,4072,4086,4034,4053
2020-05-05,4052,4185,3982,4102
2020-05-06,4119,4162,4036,4110
2020-05-07,4109,4123,4028,4028
2020-05-08,4016,4163,3939,4099
2020-05-11,4080,4101,3987,4079
2020-05-12,4085,4155,3996,4136
2020-05-13,4122,4219,4086,4088
2020-05-14,4079,4164,4039,4123
2020-05-15,4105,4195,4098,4135
2020-05-18,4151,4261,4051,4199
2020-05-19,4212,4293,4166,4291
2020-05-20,4311,4356,4185,4215
2020-05-21,4200,4383,4194,4292
2020-05-22,4284,4363,4161,4261
2020-05-26,4271,4295,4151,4188
2020-05-27,4184,4300,4104,4284
2020-05-28,4302,4367,4215,4282
2020-05-29,4273,4411,4204,4361
2020-06-01,4349,4452,4321,4367
2020-06-02,4375,4412,4294,4332
2020-06-03,4312,4322,4214,4263
2020-06-04,4268,4268,4214,4258
2020-06-05,4251,4349,4124,4215
2020-06-08,4229,4305,4150,4303
2020-06-09,4301,4393,4164,4204
2020-06-10,4206,4265,4206,4238
2020-06-11,4225,4312,4152,4184
2020-06-12,4172,4252,4076,4100
2020-06-15,4094,4168,4003,4154
2020-06-16,4169,4213,4114,4163
2020-06-17,4162,4180,4077,4166
2020-06-18,4148,4269,4074,4219
2020-06-19,4202,4226,4171,4202
2020-06-22,4202,4278,4143,4255
2020-06-23,4238,4357,4173,4331
2020-06-24,4334,4497,4272,4413
2020-06-25,4402,4489,4333,4485
2020-06-26,4465,4467,4374,4431
2020-06-29,4430,4495,4382,4484
2020-06-30,4494,4595,4479,4524
2020-07-01,4511,4649,4446,4579
2020-07-02,4559,4636,4469,4547
2020-07-06,4556,4594,4391,4479
2020-07-07,4472,4505,4387,4484
2020-07-08,4479,4614,4413,4565
2020-07-09,4547,4592,4437,4529
2020-07-10,4526,4613,4480,4569
2020-07-13,4584,4637,4442,4490
2020-07-14,4482,4618,4471,4530
2020-07-15,4520,4584,4457,4549
2020-07-16,4546,4650,4478,4630
2020-07-17,4623,4770,4558,4716
2020-07-20,4713,4742,4627,4709
2020-07-21,4712,4731,4575,4636
2020-07-22,4616,4732,4557,4644
2020-07-23,4653,4717,4650,4687
2020-07-24,4698,4772,4666,4666
2020-07-27,4658,4744,4645,4692
2020-07-28,4710,4802,4688,4790
2020-07-29,4786,4797,4655,4703
2020-07-30,4688,4689,4586,4680
2020-07-31,4693,4813,4602,4725
2020-08-03,4719,4727,4646,4691
2020-08-04,4684,4762,4536,4614
2020-08-05,4617,4760,4541,4704
2020-08-06,4697,4740,4629,4711
2020-08-07,4719,4806,4628,4801
2020-08-10,4817,4939,4756,4868
2020-08-11,4871,4965,4722,4799
2020-08-12,4779,4785,4622,4714
2020-08-13,4719,4738,4669,4669
2020-08-14,4663,4818,4592,4741
2020-08-17,4738,4812,4697,4714
2020-08-18,4715,4768,4679,4682
2020-08-19,4667,4670,4540,4571
2020-08-20,4559,4583,4469,4491
2020-08-21,4496,4546,4398,4401
2020-08-24,4404,4408,4294,4372
2020-08-25,4352,4488,4260,4436
2020-08-26,4442,4459,4357,4409
2020-08-27,4395,4587,4359,4495
2020-08-28,4505,4585,4388,4405
2020-08-31,4389,4395,4244,4339
2020-09-01,4344,4407,4254,4354
2020-09-02,4369,4378,4272,4347
2020-09-03,4341,4506,4296,4429
2020-09-04,4420,4592,4324,4510
2020-09-08,4520,4552,4443,4458
2020-09-09,4473,4606,4453,4516
2020-09-10,4519,4553,4439,4496
2020-09-11,4511,4543,4403,4493
2020-09-14,4475,4603,4426,4546
2020-09-15,4565,4628,4500,4551
2020-09-16,4544,4650,4511,4563
2020-09-17,4560,4570,4417,4478
2020-09-18,4487,4658,4440,4582
2020-09-21,4592,4717,4527,4662
2020-09-22,4667,4714,4662,4704
2020-09-23,4714,4714,4593,4658
2020-09-24,4665,4699,4581,4620
2020-09-25,4623,4723,4513,4537
2020-09-28,4545,4571,4485,4523
2020-09-29,4543,4596,4389,4462
2020-09-30,4468,4566,4413,4501
2020-10-01,4506,4612,4440,4537
2020-10-02,4530,4611,4448,4523
2020-10-05,4514,4595,4379,4433
2020-10-06,4444,4533,4351,4391
2020-10-07,4381,4449,4319,4357
2020-10-08,4346,4482,4306,4443
2020-10-09,4428,4526,4342,4369
2020-10-12,4371,4482,4323,4432
2020-10-13,4420,4557,4387,4501
2020-10-14,4481,4616,4384,4576
2020-10-15,4561,4613,4432,4494
2020-10-16,4497,4502,4394,4431
2020-10-19,4445,4554,4391,4525
2020-10-20,4544,4654,4444,4555
2020-10-21,4540,4616,4383,4465
2020-10-22,4455,4462,4366,4456
2020-10-23,4439,4461,4385,4393
2020-10-26,4400,4482,4292,4366
2020-10-27,4386,4452,4353,4428
2020-10-28,4442,4487,4413,4433
2020-10-29,4432,4457,4409,4434
2020-10-30,4431,4492,4401,4475
2020-11-02,4467,4488,4363,4378
2020-11-03,4360,4463,4273,4456
2020-11-04,4466,4558,4359,4455
2020-11-05,4437,4509,4261,4343
2020-11-06,4337,4371,4204,4284
2020-11-09,4278,4472,4215,4372
2020-11-10,4366,4548,4353,4462
2020-11-11,4481,4520,4400,4482
2020-11-12,4496,4500,4441,4486
2020-11-13,4489,4549,4466,4537
2020-11-16,4532,4607,4487,4539
2020-11-17,4534,4547,4432,4489
2020-11-18,4503,4608,4410,4575
2020-11-19,4560,4653,4452,4484
2020-11-20,4495,4535,4370,4440
2020-11-23,4423,4453,4397,4423
2020-11-24,4430,4454,4348,4350
2020-11-25,4358,4396,4267,4390
2020-11-27,4400,4504,4373,4453
2020-11-30,4434,4475,4347,4461
2020-12-01,4463,4501,4440,4471
2020-12-02,4485,4551,4452,4504
2020-12-03,4508,4604,4495,4540
2020-12-04,4521,4625,4492,4620
